Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,Chapter Name,Movie ID,Movie Chapter,Movie Title,Release Year,Runtime,Budget,Box Office,Place Name,Place Category,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core)
21,2,8,32,"Why don't you just cook the breakfast, and try not to burn anything.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
22,2,8,1,"Yes, Aunt Petunia.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
23,2,8,32,I want everything to be perfect for my Dudley's special day.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
24,2,8,21,"Hurry up! Bring my coffee, boy!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
25,2,8,1,"Yes, Uncle Vernon.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
26,2,8,32,"Aren't they wonderful, darling?",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
27,2,8,31,How many are there?,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
28,2,8,21,Thirty-six. Counted 'em myself.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
29,2,8,31,Thirty-six?! But last year last year I had thirty-seven!!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
30,2,8,21,"Err yes, well, some of them are quite a bit bigger than last year.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
31,2,8,31,I don't care how big they are!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
32,2,8,32,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
33,2,8,32,This will be a lovely day at the zoo. I'm really looking forward to it.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
34,2,8,21,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
35,2,8,31,Make it move.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
36,2,8,21,Move!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
37,2,8,31,MOVE!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
38,2,8,1,He's asleep!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
39,2,8,31,He's boring.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
40,2,8,1,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
41,2,8,31,"Mummy, dad, come here! You won't believe what this snake is doing!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
42,2,8,31,Whoa! Ahh! Ahh!!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
43,2,8,161,Thanks.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Student,Human,Male,Gryffindor,Unknown,Unknown,Unknown
44,2,8,1,Anytime.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
45,2,8,139,SNAKE!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Man,Human,Male,Gryffindor,Unknown,Unknown,Unknown
46,2,8,31,"Mum, mummy!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
47,2,8,32,AHH!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
48,2,8,31,"Mum, help! Help me!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
49,2,8,32,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
50,3,8,32,It's all right. It's all right.,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
51,3,8,1,Ow!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
52,3,8,21,What happened?!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
53,3,8,1,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
54,3,8,21,There's no such thing as magic!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
55,3,8,32,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
56,3,8,21,Caveat Smeltona. Proudest moment of my life.,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
57,3,8,1,"Will I have to wear that, too?",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
58,3,8,32,"What, you? Go to Smeltings?",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
59,3,8,21,Ha!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
60,3,8,32,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it.",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
61,3,8,1,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
62,3,8,32,It'll fit you well enough. Go get the post.  Go!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
63,3,8,21,"Oh, Marge is ill! Ate a funny whelk.",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
64,3,8,31,Dad! Look! Harry's got a letter!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
65,3,8,1,"Hey, give it back! It's mine!",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
66,3,8,21,Yours? Who'd be writing to you?,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
67,3,8,21,No more mail through this letterbox.,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
68,3,8,32,"Have a lovely day at the office, dear.",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
69,3,8,21,Shoo! Go on!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
70,3,8,21,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
71,3,8,1,Because there's no post on Sunday?,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
72,3,8,21,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
73,3,8,31,AHH! Make it stop! Please make it stop!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
74,3,8,21,"Go away, ahh!",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
75,3,8,31,What is it? Please tell me what's happening!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
76,3,8,21,Give me that! Give me that letter!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
77,3,8,1,Get off! Ahh!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
78,3,8,21,Ahh!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
79,3,8,1,They're my letters! Let go of me!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
80,3,8,21,That's it! We're going away! Far away! Where they can't find us!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
81,3,8,31,"Daddy's gone mad, hasn't he?!",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
82,4,10,1,"Make a wish, Harry.",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
83,4,10,21,Who's there? Ahh!,Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
84,4,10,5,Sorry 'bout that.,Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
85,4,10,21,"I demand that you leave at once, sir! You are breaking and entering!",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
86,4,10,5,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
87,4,10,31,I-I-I'm not Harry.,Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
88,4,10,1,I-I am.,Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
89,4,10,5,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh.",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
90,4,10,1,Thank you!,Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
91,4,10,5,"It's not every day that your young man turns eleven, now is it?",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
92,4,10,1,"Excuse me, who are you?",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
93,4,10,5,"Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts.",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
94,4,10,1,"Sorry, no.",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
95,4,10,5,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
96,4,10,1,Learned what?,Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
97,4,10,5,"You're a wizard, Harry.",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
98,4,10,1,I-I'm a what?,Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
99,4,10,5,"A wizard. And a thumping good one at that, I'd wager. Once you train up a little.",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
100,4,10,1,"No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry.",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
101,4,10,5,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah.",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
102,4,10,1,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry.",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
103,4,10,21,"He'll not be going! We swore when we took him in, we'd put a stop to this rubbish!",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
104,4,10,1,You knew? You knew all along and you never told me?,Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
105,4,10,32,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you.",Keeper of the Keys,1,4,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hut-on-the-Rock,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
